event_time,user_id,ip,device_id,device_type
2026-01-01T00:00:22Z,demo_user_018,192.0.2.10,demo_device_01,Browser
2026-01-01T00:01:45Z,demo_user_001,198.51.100.77,demo_device_03,Emulator
2026-01-01T00:06:05Z,demo_user_014,192.0.2.10,demo_device_01,Browser
2026-01-01T00:06:29Z,demo_user_036,192.0.2.11,demo_device_02,Mobile
2026-01-01T00:15:38Z,demo_user_001,192.0.2.10,demo_device_01,Browser
2026-01-01T00:17:01Z,demo_user_004,192.0.2.11,demo_device_02,Mobile
2026-01-01T00:17:11Z,demo_user_020,198.51.100.77,demo_device_03,Emulator
2026-01-01T00:18:35Z,demo_user_014,192.0.2.10,demo_device_01,Browser
2026-01-01T00:19:32Z,demo_user_037,192.0.2.10,demo_device_01,Browser
2026-01-01T00:21:16Z,demo_user_028,198.51.100.77,demo_device_03,Emulator
2026-01-01T00:24:53Z,demo_user_039,192.0.2.10,demo_device_01,Browser
2026-01-01T00:25:14Z,demo_user_023,198.51.100.77,demo_device_03,Emulator
2026-01-01T00:26:51Z,demo_user_025,192.0.2.10,demo_device_01,Browser
2026-01-01T00:27:53Z,demo_user_026,198.51.100.77,demo_device_03,Emulator
2026-01-01T00:33:22Z,demo_user_010,192.0.2.10,demo_device_01,Browser
2026-01-01T00:36:49Z,demo_user_026,192.0.2.10,demo_device_01,Browser
2026-01-01T00:41:51Z,demo_user_028,192.0.2.10,demo_device_01,Browser
2026-01-01T00:44:05Z,demo_user_024,192.0.2.11,demo_device_02,Mobile
2026-01-01T00:44:07Z,demo_user_022,192.0.2.11,demo_device_02,Mobile
2026-01-01T00:44:40Z,demo_user_037,192.0.2.10,demo_device_01,Browser
2026-01-01T00:47:00Z,demo_user_003,198.51.100.77,demo_device_03,Emulator
2026-01-01T00:49:07Z,demo_user_038,198.51.100.77,demo_device_03,Emulator
2026-01-01T00:51:12Z,demo_user_033,192.0.2.10,demo_device_01,Browser
2026-01-01T00:51:59Z,demo_user_006,198.51.100.77,demo_device_03,Emulator
2026-01-01T00:53:06Z,demo_user_023,192.0.2.11,demo_device_02,Mobile
2026-01-01T00:59:45Z,demo_user_024,192.0.2.10,demo_device_01,Browser
2026-01-01T01:00:47Z,demo_user_017,192.0.2.11,demo_device_02,Mobile
2026-01-01T01:02:46Z,demo_user_014,192.0.2.10,demo_device_01,Browser
2026-01-01T01:05:44Z,demo_user_008,198.51.100.77,demo_device_03,Emulator
2026-01-01T01:08:15Z,demo_user_026,198.51.100.77,demo_device_03,Emulator
2026-01-01T01:14:02Z,demo_user_031,192.0.2.11,demo_device_02,Mobile
2026-01-01T01:15:38Z,demo_user_001,192.0.2.10,demo_device_01,Browser
2026-01-01T01:16:00Z,demo_user_033,198.51.100.77,demo_device_03,Emulator
2026-01-01T01:16:28Z,demo_user_003,192.0.2.10,demo_device_01,Browser
2026-01-01T01:19:05Z,demo_user_025,192.0.2.10,demo_device_01,Browser
2026-01-01T01:19:51Z,demo_user_005,192.0.2.10,demo_device_01,Browser
2026-01-01T01:21:47Z,demo_user_033,198.51.100.77,demo_device_03,Emulator
2026-01-01T01:24:35Z,demo_user_040,198.51.100.77,demo_device_03,Emulator
2026-01-01T01:26:28Z,demo_user_024,192.0.2.11,demo_device_02,Mobile
2026-01-01T01:26:44Z,demo_user_015,192.0.2.11,demo_device_02,Mobile
2026-01-01T01:29:28Z,demo_user_003,192.0.2.10,demo_device_01,Browser
2026-01-01T01:29:30Z,demo_user_003,192.0.2.10,demo_device_01,Browser
2026-01-01T01:29:45Z,demo_user_020,198.51.100.77,demo_device_03,Emulator
2026-01-01T01:44:07Z,demo_user_033,192.0.2.10,demo_device_01,Browser
2026-01-01T01:46:40Z,demo_user_040,192.0.2.10,demo_device_01,Browser
2026-01-01T01:49:50Z,demo_user_004,192.0.2.10,demo_device_01,Browser
2026-01-01T01:50:26Z,demo_user_014,192.0.2.11,demo_device_02,Mobile
2026-01-01T01:54:54Z,demo_user_017,192.0.2.10,demo_device_01,Browser
2026-01-01T01:57:11Z,demo_user_022,192.0.2.11,demo_device_02,Mobile
2026-01-01T01:59:59Z,demo_user_040,192.0.2.10,demo_device_01,Browser
2026-01-01T02:03:52Z,demo_user_017,192.0.2.11,demo_device_02,Mobile
2026-01-01T02:04:04Z,demo_user_035,192.0.2.11,demo_device_02,Mobile
2026-01-01T02:11:29Z,demo_user_010,198.51.100.77,demo_device_03,Emulator
2026-01-01T02:13:08Z,demo_user_026,192.0.2.11,demo_device_02,Mobile
2026-01-01T02:13:15Z,demo_user_026,192.0.2.11,demo_device_02,Mobile
2026-01-01T02:17:45Z,demo_user_004,192.0.2.11,demo_device_02,Mobile
2026-01-01T02:18:08Z,demo_user_012,198.51.100.77,demo_device_03,Emulator
2026-01-01T02:19:44Z,demo_user_032,192.0.2.10,demo_device_01,Browser
2026-01-01T02:20:00Z,demo_user_037,192.0.2.11,demo_device_02,Mobile
2026-01-01T02:20:29Z,demo_user_003,192.0.2.10,demo_device_01,Browser
2026-01-01T02:21:26Z,demo_user_020,198.51.100.77,demo_device_03,Emulator
2026-01-01T02:31:39Z,demo_user_021,198.51.100.77,demo_device_03,Emulator
2026-01-01T02:33:05Z,demo_user_037,198.51.100.77,demo_device_03,Emulator
2026-01-01T02:42:40Z,demo_user_023,192.0.2.10,demo_device_01,Browser
2026-01-01T02:42:55Z,demo_user_023,192.0.2.10,demo_device_01,Browser
2026-01-01T02:43:35Z,demo_user_033,192.0.2.11,demo_device_02,Mobile
2026-01-01T02:45:51Z,demo_user_012,192.0.2.11,demo_device_02,Mobile
2026-01-01T02:46:29Z,demo_user_006,192.0.2.10,demo_device_01,Browser
2026-01-01T02:46:34Z,demo_user_029,192.0.2.10,demo_device_01,Browser
2026-01-01T02:50:09Z,demo_user_038,198.51.100.77,demo_device_03,Emulator
2026-01-01T02:53:48Z,demo_user_031,192.0.2.10,demo_device_01,Browser
2026-01-01T02:59:02Z,demo_user_014,198.51.100.77,demo_device_03,Emulator
2026-01-01T03:02:33Z,demo_user_022,192.0.2.10,demo_device_01,Browser
2026-01-01T03:09:30Z,demo_user_005,198.51.100.77,demo_device_03,Emulator
2026-01-01T03:16:11Z,demo_user_015,198.51.100.77,demo_device_03,Emulator
2026-01-01T03:16:29Z,demo_user_011,192.0.2.11,demo_device_02,Mobile
2026-01-01T03:16:39Z,demo_user_010,198.51.100.77,demo_device_03,Emulator
2026-01-01T03:20:52Z,demo_user_017,198.51.100.77,demo_device_03,Emulator
2026-01-01T03:22:12Z,demo_user_003,198.51.100.77,demo_device_03,Emulator
2026-01-01T03:24:47Z,demo_user_004,198.51.100.77,demo_device_03,Emulator
2026-01-01T03:31:45Z,demo_user_020,192.0.2.10,demo_device_01,Browser
2026-01-01T03:35:29Z,demo_user_034,198.51.100.77,demo_device_03,Emulator
2026-01-01T03:36:52Z,demo_user_035,192.0.2.10,demo_device_01,Browser
2026-01-01T03:37:46Z,demo_user_022,192.0.2.10,demo_device_01,Browser
2026-01-01T03:45:43Z,demo_user_001,192.0.2.11,demo_device_02,Mobile
2026-01-01T03:46:01Z,demo_user_021,192.0.2.11,demo_device_02,Mobile
2026-01-01T03:46:16Z,demo_user_040,192.0.2.10,demo_device_01,Browser
2026-01-01T03:54:47Z,demo_user_025,192.0.2.11,demo_device_02,Mobile
