feature,feature_value,day_utc,event_count,hurst_exponent,graph_fractal_dimension
device_type,Browser,2026-01-01,237,0.532748,1.467252
device_type,Browser,2026-01-02,225,0.552451,1.447549
device_type,Browser,2026-01-03,221,0.590546,1.409454
device_type,Browser,2026-01-04,217,0.534322,1.465678
device_type,Browser,2026-01-05,202,0.529938,1.470062
device_type,Browser,2026-01-06,212,0.578314,1.421686
device_type,Browser,2026-01-07,231,0.604758,1.395242
device_type,Emulator,2026-01-01,147,0.555275,1.444725
device_type,Emulator,2026-01-02,136,0.571791,1.428209
device_type,Emulator,2026-01-03,140,0.523830,1.476170
device_type,Emulator,2026-01-04,284,0.702398,1.297602
device_type,Emulator,2026-01-05,282,0.673125,1.326875
device_type,Emulator,2026-01-06,310,0.755743,1.244257
device_type,Emulator,2026-01-07,301,0.676744,1.323256
device_type,Mobile,2026-01-01,194,0.491077,1.508923
device_type,Mobile,2026-01-02,179,0.465171,1.534829
device_type,Mobile,2026-01-03,180,0.605586,1.394414
device_type,Mobile,2026-01-04,168,0.562400,1.437600
device_type,Mobile,2026-01-05,175,0.532455,1.467545
device_type,Mobile,2026-01-06,164,0.499549,1.500451
device_type,Mobile,2026-01-07,189,0.600532,1.399468
