feature,feature_value,window_start_utc,window_end_utc,event_count,baseline,unique_users,user_ids
device_type,Emulator,2026-01-01T17:04:00Z,2026-01-01T17:12:00Z,4,1.250,3,demo_user_008;demo_user_032;demo_user_038
device_type,Emulator,2026-01-03T04:56:00Z,2026-01-03T05:04:00Z,4,1.000,4,demo_user_002;demo_user_026;demo_user_030;demo_user_032
device_type,Emulator,2026-01-04T05:52:00Z,2026-01-04T06:00:00Z,23,4.000,3,demo_suspect_a;demo_suspect_b;demo_suspect_c
device_type,Emulator,2026-01-04T12:48:00Z,2026-01-04T12:56:00Z,22,2.000,3,demo_suspect_a;demo_suspect_b;demo_suspect_c
device_type,Emulator,2026-01-04T18:56:00Z,2026-01-04T19:04:00Z,22,3.000,3,demo_suspect_a;demo_suspect_b;demo_suspect_c
device_type,Emulator,2026-01-05T01:36:00Z,2026-01-05T01:44:00Z,4,1.000,3,demo_user_001;demo_user_008;demo_user_030
device_type,Emulator,2026-01-05T05:52:00Z,2026-01-05T06:00:00Z,26,3.000,3,demo_suspect_a;demo_suspect_b;demo_suspect_c
device_type,Emulator,2026-01-05T12:48:00Z,2026-01-05T12:56:00Z,22,1.000,3,demo_suspect_a;demo_suspect_b;demo_suspect_c
device_type,Emulator,2026-01-05T18:56:00Z,2026-01-05T19:04:00Z,23,2.000,3,demo_suspect_a;demo_suspect_b;demo_suspect_c
device_type,Emulator,2026-01-06T05:52:00Z,2026-01-06T06:00:00Z,27,6.000,3,demo_suspect_a;demo_suspect_b;demo_suspect_c
device_type,Emulator,2026-01-06T12:48:00Z,2026-01-06T12:56:00Z,23,1.250,3,demo_suspect_a;demo_suspect_b;demo_suspect_c
device_type,Emulator,2026-01-06T18:56:00Z,2026-01-06T19:04:00Z,23,2.000,3,demo_suspect_a;demo_suspect_b;demo_suspect_c
device_type,Emulator,2026-01-07T05:52:00Z,2026-01-07T06:00:00Z,26,6.000,3,demo_suspect_a;demo_suspect_b;demo_suspect_c
device_type,Emulator,2026-01-07T12:48:00Z,2026-01-07T12:56:00Z,24,0.000,3,demo_suspect_a;demo_suspect_b;demo_suspect_c
device_type,Emulator,2026-01-07T17:20:00Z,2026-01-07T17:28:00Z,4,1.000,4,demo_user_010;demo_user_014;demo_user_032;demo_user_037
device_type,Emulator,2026-01-07T17:28:00Z,2026-01-07T17:36:00Z,4,1.000,4,demo_user_007;demo_user_019;demo_user_025;demo_user_028
device_type,Emulator,2026-01-07T18:56:00Z,2026-01-07T19:04:00Z,27,4.000,3,demo_suspect_a;demo_suspect_b;demo_suspect_c
